Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,Cybersecurity Responsibility,Cyber Initiatives,cyber,Cloud Solutions Responsibility,Cloud Initiatives,cloud,Digital Responsibility,Digital Initiatives,digital,Data Management Responsibility,Data Management Initiatives,data,Software / Application Development Responsibility,Development Initiatives,software,Communication Systems Responsibility,Communication Initiatives,communication,Network Systems Responsibility,Network Initiatives,network,Consulting / Outsourcing Responsibility,Consulting Initiatives,consulting,"IT Leadership, Talent Management and Training Responsibility",Leadership Initiatives,IT,Cybersecurity Solutions,Which Cloud Solutions,Digital Solutions,Data Management Solutions,Software / Application Development Solutions,Communication Systems Solutions,Network Systems Solutions,Consulting / Outsourcing Solutions,"IT Leadership, Talent Management and Training Solutions",Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount
Lenoir City Schools,Chief Technology Officer,www.lenoircityschools.com,TN,,Education,We are a k-12 public education institution that offers both face to face and virtual education.,250-500,$0-$50M,5,5,1,3,"Chrome, MAc and Windows",Frontline,Google,Yes,No,we currently have a phishing training provider but are interested in other companies that provide this service to determine if we have the best product. we also just launched multi-factor authentication but are interested in learning more about different options in this space.,Yes,No,i am interested in learning more about cloud hosted systems that are capable of hosting graphic intensive software systems. our students use chromebooks which are issued to them by the school district and we would like to see if it would benefit us to host software in the cloud and access that software via the chromebook or continue to purchase stand alone labs for specific software products.,Yes,Yes,the school district operates a virtual school so we are always interested in new product offerings in digital transformation and digital workforce technology.,No,No,no,No,No,no,Yes,No,i am the administrator for the school districts virtual school where all students complete their courses online. i am always interested in researching new platforms in the video conferencing space.,No,No,no,No,No,no,Yes,No,"i am interested in what options are available for staff training in a variety of different topics like cybersecurity, operations and general software.",",Multi-factor authenticationPhishing,",",Mobility,SaaS ManagementVirtual Machines,Virtualization",",Digital TransformationDigital Workforce",0,",",",Video Conferencing",",",",",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT Operations,",Fall 22,5,0,1,6,5
Carr Properties,CTO,www.carrprop.com,DC,,Real Estate,We are an owner operator of commercial office buildings,100-250,$250M-$500M,17,3 direct and 40 indirect,1,0,MS,Oracle,Azure,Yes,Yes,iot cyber security options for building systems,Yes,No,leveraging better our cloud applications,Yes,Yes,enhance our analytics platform and reduce the cost,Yes,Yes,"management buy in and reducing cost
 -data analytics and automation
 -construction technology if we have any",No,No,no,No,No,no,No,Yes,no,Yes,Yes,specialty in the real estate market and the trending innovation in the space,Yes,Yes,need to hire and or outsource to local msp some of our building it services,"Application Security - Vulnerability AssessmentEndpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint preventionIdentity & Access Management,Industrial / IoT Security,Network Security - Intrusion Prevention Systems,Network Security - Monitoring & forensicsSecurity Operations Center - SOC as a Service,","Backup/Disaster Recovery,Business Intelligence,IoT,IT Service Management (ITSM)","Artificial Intelligence & Machine Learning,Workflow and Content Automation","Big Data & Analytics,Data Quality,Data Visualization",",",",",",","Business IntelliganceDigital Transformation (Analytics, AI),",",IT Asset Management,Staffing - Permanent to hire IT staffing",Fall 22,2,0,2,2,6
Beaufort County Schools,Director of Digital Media and Innovative Technology,www.beaufort.com,NC,,Education,Education of millions of minds,"1,000-5,000",$0-$50M,14,6,same 6 people,No,Mac OS - Windows - Google,Windows,Azure,Yes,No,want to speak to vendors about phishing and digital footprint,No,No,no,Yes,Yes,"social media archiving - a/v solutions - 
 audio and video mixing
 digital audio equipment",Yes,Yes,one of the main areas i am looking to speak to vendors about is around backup and disaster recovery - emergency back up recovery,Yes,Yes,"software compliance
 website host is no longer of interest",Yes,No,external communication,No,No,no,Yes,No,not really,Yes,Yes,"it training
 cybersecurity training- knowbe4 before and looking for a new one.",",Phishing,",",","Artificial Intelligence & Machine Learning,Digital TransformationWorkflow and Content Automation",Backup/Disaster Recovery,"MobileSoftware Compliance,Web",",Video Conferencing",",",",Vendor Evaluations","IT Certificates,IT Training Software for staff : IT Operations,Leadership coaching",Fall 22,8,0,0,5,3
Bracewell,Director Network Services and Security,www.bracewell.com,TX,,Business Services,Legal Services,"500-1,000",$500M-$1B,10,50,6,50,Server 2016 / Win10,No,Azure,Yes,Yes,"always looking for the latest in security offerings, and better way to improve security and efficiencies",Yes,No,"cloud is in our future, so want to learn more about what is available as we begin the migration",No,No,no,Yes,No,"we have a lot of unstructured data that we need to organize, clean up, and possibly move to cloud",No,No,no,Yes,No,currently don't effectively manage mobiles,Yes,No,"no challenges necessarily. i will be looking for a new wan provider. likely mpls, possibly sd-wan as a backup circuit. always curious about new network offerings and how they may benefit the firm",Yes,No,x,"I like to keep a stable of consultants that I can reach out to, if necessary. cybersecurity is a hot topic so understanding who is doing what is the space is valuable.",yes,"i would like to look into it training for the it staff, either self guided cbt, or alternative. also leadership coaching may be valuable for some staff members",",Cloud Security,Critical Event ManagementData Loss Protection,Data Center Security,Data SecurityDisaster / Backup Recovery,Email Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Endpoint preventionIdentity & Access Management,Multi-factor authentication,ZerotrustMobile SecurityPenetration Testing and Simulation,Phishing,Physical Security - Surveillance and Access Control,Privileged Access Management,Ransomware,Risk & Compliance,Security Incident ResponseSecurity Rating / Benchmarking,SIEM,SOAR - Security Orchestration Automation and Response,Third Party Cyber Risk Management,Threat Intelligence,User behavior monitoring,","Backup/Disaster RecoveryCloud Migration Services,StorageVirtualization",",","Backup/Disaster RecoveryData Cleansing,Data Quality,EncryptionNetwork and application performance monitoringServer Storage",",","Enterprise Mobility Management,",",Data Center Networking,Hosting,Mobility,MPLS,Routing,SD-WAN,SwitchingWANWireless","Cybersecurity ServicesIT Service Management (ITSM)Technology Lifecycle Management,Vendor Evaluations","IT Advisory / Analyst Support,IT Training Software for staff : CybersecurityIT Training Software for staff : IT Operations,Leadership coaching",Fall 22,4,0,0,4,6
SUNY Downstate Health Sciences University,Director,www.downstate.edu,NY,,Government,"This is a NY State Giverment Education and Hospital. Teaching for MD, PhD, Nursing Public Health and all Health related programe. Hospital with 650 Besds and 13 Clinics - Patient care","1,000-5,000",$500M-$1B,SUNY Downstate Health Sciences University,120,<5,na,Windows,Lawson,Azure,No,No,no,Yes,Yes,putting the whole emr data about 3.5 tb in the cloud. very big project,Yes,Yes,manage consultants develop and buy applications,Yes,Yes,interacting with the business to understand their need. - remote working. - expert data programmer. - data visualization. - data integration. - etl maintenance - sap/tableau enterprise management - allscripts clinical performance management and sunrise clinical management reporting timely enterprise reporting data ware house - looking regulatory and quality - reporting patient safety,Yes,Yes,"mobile app - proficient programmer - maintenance and support - data integration and etl in the applications - web, citrix, .net programming",No,No,no,No,No,no,Yes,Yes,expert consultant - communication - in time and budget,Yes,Yes,no,0,"Backup/Disaster Recovery,Business Intelligence,Cloud Migration Services,Document Management Systems,ERP,Mobility,SaaS Management,","Artificial Intelligence & Machine Learning,Digital ConsultingDigital TransformationWorkflow and Content Automation",",BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Data CleansingData Integration & Access,Data Quality,Data Visualization,Data WarehousingOutsourced Consulting,","APIs,Application Architecture,Application Integration,Application Lifecycle ManagementCloud,MobileOutsourced Consulting,Outsourced Software / Application DevelopmentWeb",",",",","APIs,Application Modernization,Business Intelligance,Database ModernizationDigital Worker,IT Service Management (ITSM)Software / Application Development,Staffing / Recruiting,Technology Lifecycle Management,Vendor Evaluations","IT Advisory / Analyst SupportIT Training Software for staff : Software,IT Training Software for staff : IT Operations,Leadership coachingStaffing - Permanent to hire IT staffing",Fall 22,0,0,0,3,6
Enns Brothers,Director of Information Technology,ennsbrothers.com,Canada,,Retail,"We sell equipment and have retail stores that handle parts, accessories and other branded items.",250-500,$250M-$500M,10,2,2,10,W10,CDK,Hybrid,Yes,Yes,"looking at encryption options for e-mail.
 seim solution and endpoint edr technology.",Yes,Yes,looking at cloud backup solutions.,No,No,no,Yes,Yes,backup / disaster recovery.,No,No,no,Yes,No,"seeing what options are available. we are currently on cisco call manager.
 a little outdated so open to seeing what's out there",Yes,No,looking at wifi solutions above and beyond our current wireless access controller for our cisco wifi access points.,No,No,no,No,No,no,"Disaster / Backup Recovery,Email SecurityEncryption,Endpoint detection & response (EDR)Web Security","Backup/Disaster Recovery,",",",Backup/Disaster Recovery,",","Cloud based phone systems (VOIP)Contract Management,","WIFI,",",",0,Fall 22,8,0,0,3,6
FinThrive,Manager II,www.finthrive.com,GA,,Healthcare,Healthcare Applications for Hospitals to help with estimation and eligibility.,"1,000-5,000",$250M-$500M,2,100,20,1,Windows,No,Azure,Yes,Yes,application security is really important. especially we want to move security towards left in the software development life cycle. always looking to add more security.,Yes,Yes,migrating data center applications to azure cloud.,No,No,no,Yes,Yes,"dashboards for reports in tableau or power bi.
 looking to add ai as well.",Yes,Yes,application modernization before migrating to cloud. application security using json tokens or oauth etc.,No,No,no,No,No,no,Yes,Yes,no,Hard to find resources especially with Healthcare experience.,yes,employee retention is something really important for us. trying to offer certification programs and other training programs for employees to increase company moral and retention.,",Application Security and WAF,API Secutiry,Cloud Security,Data Security,DevOps SecurityEncryption,Identity & Access Management,Multi-factor authentication,Penetration Testing and Simulation",",Business Intelligence,Cloud Migration ServicesDev-Ops,",",","Backup/Disaster Recovery,BI Dashboard & Reporting,Data VisualizationEncryption","APIs,Application Architecture,Application Integration,Application Lifecycle Management,Automation Testing Software,Cloud,DevOps,Microsoft Stack,MobileSoftware Compliance,Web",",",",","APIs,Application ModernizationCloud Workload and MigrationStaffing / RecruitingVendor Evaluations","IT Advisory / Analyst SupportIT CertificatesIT Training Software for staff : SoftwareLeadership coaching,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Fall 22,3,0,0,5,7
"GE Appliances, a Haier company",Sr IT Manager,geappliances.com,KY,,Manufacturing,Home appliances,"10,000+",$5B+,20,400,6,1000,Windows mostly,Oracle,Hybrid,No,No,no,Yes,Yes,multiple saas providers and managing all of them,Yes,Yes,"more like 2023, but looking at rpa and ai solutions in supply chain and other areas
 
 quickstart opportunities",Yes,Yes,"integrations and edi management challenges.
 data lake requests internally",Yes,Yes,iot and edge are current areas of interest,No,No,no,No,No,no,Yes,Yes,finding agencies that can staff needed roles and the quantities needed. continue to get commitments without resources delivered.,Yes,Yes,oracle ebs training needed,0,"Backup/Disaster RecoveryIoTSaaS Management,","Artificial Intelligence & Machine Learning,Digital Transformation,Robotic Process Automation (RPA),","Backup/Disaster Recovery,BI Dashboard & ReportingBusiness Intelligence,Business Process ManagementData Integration & Access,Data Warehousing,","Application IntegrationDevOps,IoT",",",",",",Application ModernizationQA/Testing,Software / Application Development,Vendor Evaluations",",IT Training Software for staff : IT Operations,",Fall 22,1,0,1,4,7
Wells Fargo,Technology CTO (Cloud),www.wellsfargo.com,CA,,Finance,Financial Services,"10,000+",$5B+,25,40000,20000,Not sure,Multiple,Oracle,Google,Yes,Yes,"more visibility into cloud, security control automation",Yes,Yes,"consolidation, automation, cloud migration",Yes,Yes,aiml capabilities with cloud,Yes,Yes,traditional data lake transformation into cloud,No,No,no,No,No,no,No,No,no,Yes,Yes,"leverage managed services and staff aug.
 a",Yes,Yes,talent retention and staffing,"API Secutiry,Cloud Security,Data Loss ProtectionZerotrust,Risk & ComplianceSIEMThird Party Cyber Risk Management,","Backup/Disaster RecoveryCloud Migration Services,Co-location,Connect Cloud,","Artificial Intelligence & Machine Learning,Digital Transformation,Digital Security,","Big Data & AnalyticsEncryption,Hyper-converged Infrastructure (HCI),",",",",",",","Cloud Enablement,Cloud Workload and Migration,Cybersecurity Services,Staffing / Recruiting",Staffing - Permanent to hire IT staffing,Fall 22,1,0,0,5,7
LIXIL Americas,Leader Cloud Services,https://www.lixil.com,NJ,,Manufacturing,Bathroom and kitchen products,"10,000+",$1B-$3B,2000+,50,8,500,"Windows Servers, Windows 10, and Various LINUX flavors",SAP,Google,Yes,Yes,"web applications protection
 cloud security
 penetration testing- trying to see if there is anybody better than aws.",Yes,Yes,"systems management
 itsm
 growing company when it comes to cloud. cloud migrations, iot, everything",No,No,no,Yes,Yes,data visualization- has a datawarehouse within google.,Yes,No,"ci-cd automation
 devops- little far out but still looking",No,No,no,Yes,Yes,"cloud networking
 sd-wan",Yes,Yes,app modernization,Yes,No,certification and training,",Application Security and WAFCloud Security,Disaster / Backup RecoveryPenetration Testing and Simulation","Backup/Disaster Recovery,IT Service Management (ITSM)Storage,Virtual Machines,Virtualization",",",Backup/Disaster RecoveryData Visualization,"DevOps,",",",",Data Center Networking,SD-WAN,",",Application Modernization",IT Certificates,Fall 22,5,0,2,7,10
Niagara Bottling,"Director of IT, Applications & Analytics",niagarawater.com,CA,,Manufacturing,"Private Label Bottled Water and Branded Beverage Products (for Walmart, Sam's Club, CostCo, All Major Grocery Retailers, Coca Cola, Pepsico, etc) Flavored Water (Hint, Sparkling Ice, Talking Rain, etc), Vitamin Water, Alkaline Water, Coffees, Iced Teas, Tampico, etc","5,000-10,000",$3B-$5B,45+,125+,3+,10+,"AIX, Redhat Linux, Windows",Oracle,Azure,No,No,no,Yes,Yes,"reduce cost basis of cloud solutions
 -looking to see if we can improve in certain areas of cloud.
 -want to gain visibility around different systems such as erp.",Yes,Yes,"iot, condition-based, predictive, prescriptive maintenance, business process optimization, yard operations management, logistics optimization, warehouse management optimization 
 
 -big asset heavy company- iot is something we have enabled, doing a lot of analytics, ai and ml is of interest",Yes,Yes,"reducing cloud spend; optimizing data pipeline, ai-ml-dev-ops",Yes,Yes,"modernize legacy integrations; improve supply chain visibility; order management revamp (product availability, optimize transportation planning / spend via dynamic sourcing, customer appointment scheduling, spot spend)",No,No,no,No,No,no,Yes,Yes,maintain appropriately skilled resource/staffing levels,Yes,Yes,"finding, hiring, retaining and growing the right talent to address our growin needs. 
 -technical training and leadership",0,",Business IntelligenceCRM,ERPIoT,IT Service Management (ITSM)","Artificial Intelligence & Machine Learning,Digital Transformation",",BI Dashboard & ReportingBusiness Intelligence,Business Process Management,Data Governance & MDM,Data Integration & AccessData Visualization","Application Integration,Application Lifecycle ManagementIoT",",",",",",Application Modernization,Business IntelliganceDigital Transformation (Analytics, AI)Software / Application DevelopmentTechnology Lifecycle Management,",",IT Asset Management,Leadership coaching,Staffing - Outsourced staffing - Project based,Workload Prioritization/ Employee Burnout Prevention",Fall 22,2,0,2,9,12
Zurich Insurance,"AVP, Security Architecture",www.zurich.com,IL,,Insurance,Insurance,"10,000+",$5B+,5,55,24,No,No,No,AWS,Yes,No,cloud migration and just overall visibility,Yes,Yes,cloud migration and just overall visibility,No,No,no,No,No,no,No,No,no,No,No,no,No,No,no,Yes,No,no,cloud migration and just overall visibility,no,no,"API SecutiryData Loss ProtectionData Security,Email SecurityEncryptionMulti-factor authenticationPrivileged Access Management,","IoT,",",",0,",",",",",","APIs,Application Modernization,Cybersecurity Services,",0,Fall 22,0,0,0,2,4
Promega,"Director, Information Systems Support",promega.com,WI,,Manufacturing,Promega is a life sciences company,"1,000-5,000",$500M-$1B,6,100,5,20,Windows 10,SAP,Azure,Yes,Yes,identity and access management. managed service provider.,Yes,Yes,backup/dr in the cloud,No,No,no,No,No,no,No,No,no,No,No,no,Yes,Yes,working on dr etc in the cloud. cleaning up server environment.,Yes,Yes,need staff aug and assistance,Yes,Yes,looking at ongoing training for it leaders,"Application Security - Vulnerability Assessment,Application Security and WAFCloud SecurityDevOps Security,Disaster / Backup RecoveryIdentity & Access ManagementZerotrustManaged Security Service ProviderPenetration Testing and SimulationRansomware,Risk & Compliance,Security Incident Response,Third Party Cyber Risk Management,","Backup/Disaster Recovery,Co-location,Dev-Ops,Help DeskIT Service Management (ITSM)",",",0,",",",",",Data Center Networking,Outsourced Consulting,",",Cloud Workload and Migration,Cybersecurity ServicesIT Service Management (ITSM),Staffing / Recruiting",",IT Asset Management,Leadership coaching,Team Efficiency and Effectiveness Training,",Fall 22,4,0,0,3,4
Directly,Head of Information Security,directly.com,CA,,Software,"Customer support automation.
 Virtual bot",0-50,$0-$50M,1,15,15,15,MACOS,SFDC,AWS,Yes,Yes,"non within the next 6 months. annual plan will be finalizes by dec 2022.
 
 topics chosen will be the areas we are expanding. so any companies that can speak to these topics will be of interest. 100% in the cloud",Yes,No,non within the next 6 months. annual plan will be finalizes by dec 2022.,No,No,no,No,No,no,Yes,Yes,"**main focus**
 
 topics chosen will be the areas we are expanding. so any companies that can speak to these topics will be of interest. 100% in the cloud",No,No,no,No,No,no,No,No,no,Yes,Yes,training for leadership and staff surrounding cybersecurity.,",Application Security and WAF,Data Security,Phishing,",",",",",0,"APIs,Cloud,Software Compliance,Web",",",",",",",",IT Asset ManagementIT Training Software for staff : Cybersecurity,",Fall 22,3,0,0,5,4
City of Fayetteville,Solutions Architect,www.fayettevillenc.gov,NC,,Government,Supporting other Departments in supplying citizen services,"1,000-5,000",$250M-$500M,40,29,1,0,windows,oracle,Azure,No,No,no,Yes,No,we are in process currently in building out a virtual segment of our network in the azure cloud and iot and dev ops are always of interest.,No,No,no,No,No,no,Yes,Yes,we are doing a lot of site migrations and upgrades related to a windows domain migration project currently. making the move to a more devops environment is something we are slowly making progress to.,No,No,no,No,No,no,Yes,No,no,from time to time we have the need or interest in outsourcing some project but find it hard to find a partner that understands our needs as a government entity.,no,no,0,"Dev-OpsIoTVirtual Machines,",",",0,"APIs,Application Architecture,Application Integration,Application Lifecycle ManagementCloud,DevOps,IoT,Mobile,Web",",",",","APIs,Application ModernizationStaffing / RecruitingVendor Evaluations",0,Fall 22,0,0,1,5,4
Moses Lake Industries,IT Manager,mlindustries.com,WA,,Manufacturing,Chemicals used by the semiconductor industry.,"500-1,000",$100M-$250M,5,12,1,1,Win 10/11,Microsoft D365,Azure,Yes,No,third party security assessments/audit and alternative end-user training and phishing/security awareness training (currently knowbe4).,Yes,Yes,interested in azure-compatible virtual desktop solutions.,Yes,Yes,"tasked with ""digital transformation"" but not sure at this time what that really means and how to approach the issue.",Yes,No,none.,Yes,Yes,"interested in how to set goals for application lifecycle management. my background is mostly ops, but am responsible for our dev team.",Yes,No,none.,Yes,No,none.,Yes,No,none.,Yes,Yes,"interested in coaching and leadership training/solutions that are it ops, dev, and helpdesk specific.","Penetration Testing and Simulation,PhishingRisk & Compliance,Security Rating / Benchmarking","Virtual Machines,Virtualization",",Digital Transformation",0,",Application Lifecycle ManagementMicrosoft Stack",",",",",",","Leadership coachingStaffing - Staff Retention,Team Efficiency and Effectiveness Training,Workload Prioritization/ Employee Burnout Prevention",Fall 22,4,0,0,5,3
Keefe Regional Technical School,Technology Director,www.keefetech.org,MA,,Education,K-12 Education,100-250,$0-$50M,1,4,4,1,"Windows, MacOSX, Chrome, IOS, Droid, Linux",Tyler,Google,Yes,Yes,"prevent cyber attacks better endpoint protection has no cybersecurity currently- endpoint protection is main priority, and education for staff. trace monitoring, sim.",Yes,No,migrating premise based servers and services to the cloud,No,No,no,No,No,no,No,No,no,Yes,No,none,Yes,Yes,"switch replacement in progress
 wap/wifi is next on the radar",Yes,No,no,Nothing more needed now,yes,nothing planned as of this moment,",Cloud SecurityEncryption,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Identity & Access Management,Multi-factor authentication,ZerotrustRansomwareSecurity Incident Response,Security Operations Center - SOC as a ServiceSIEM,SOAR - Security Orchestration Automation and Response,Third Party Cyber Risk Management,","Cloud Migration Services,StorageVirtualization",",",0,",",",",",Network Connectivity,SD-WAN,Switching,WIFI,Wireless",",",IT Advisory / Analyst Support,Fall 22,4,0,0,3,3
Madison Square Garden Entertainment,Director IS,www.msg.com,NY,,Media & Internet,"Entertainment venues, sports franchises, restaurants, clubs.","1,000-5,000",$1B-$3B,10,Unsure,6,Unsure,"Windows, Mac",No idea,AWS,Yes,Yes,"dlp, email security, casb- main focus",No,No,no,No,No,no,No,No,no,Yes,Yes,"build out secdevops model- on the scanning side, integrating with current pipeline.",No,No,no,No,No,no,No,No,no,No,no,no,",Cloud Security,Data Loss Protection,DevOps SecurityEmail SecurityExtended Detection and Response (XDR),Identity & Access Management,Multi-factor authentication,ZerotrustPenetration Testing and Simulation,PhishingSIEM,Threat Intelligence",",",",",0,",Application Architecture,DevOps,",",",",",",",0,Fall 22,1,0,0,2,3
Botprise,Head of Operations,www.botprise.com,CA,,Software,No-Code DevSecOps Automation Platform,0-50,$0-$50M,3,No,No,No,No,No,AWS,Yes,Yes,"vulnerability management
 endpoint security
 soar",Yes,Yes,cloud security,Yes,Yes,digital transformation,No,No,no,Yes,No,devops improvements,No,No,no,No,No,no,No,No,no,No,yes,"leadership coaching
 to hire the good devs","API Secutiry,Cloud SecurityDevOps Security,Disaster / Backup RecoveryEndpoint detection & response (EDR)Identity & Access Management,Multi-factor authentication,Managed Security Service ProviderRansomwareSecurity Incident ResponseSOAR - Security Orchestration Automation and ResponseThreat Intelligence","Backup/Disaster RecoveryDev-OpsSaaS Management,",",Digital Transformation",0,"APIs,Cloud,DevOpsSoftware Compliance,",",",",",",",IT Advisory / Analyst SupportLeadership coaching,Fall 22,6,0,0,4,3
Morgan Stanley,Executive Director,www.morganstanley.com,NY,,Finance,"Institutional Securities
 Wealth management
 Asset Management","10,000+",$5B+,600,15000,2500,1500,Windows/Linux,Salesforce/ SAP,Azure,Yes,Yes,cloud secur,Yes,Yes,immutable dr/backup,No,No,no,No,No,no,Yes,Yes,ci/cd security,Yes,No,byod - security,Yes,No,segmentation ztna,Yes,Yes,no,Cyber testing,no,no,",Application Security and WAFCloud Security,Critical Event Management,DevOps SecurityEmail Security,Employee monitoring & Insider Threat Detection,Encryption,Endpoint detection & response (EDR),Outsourced Consulting,Penetration Testing and SimulationRansomware,Risk & Compliance,","Backup/Disaster RecoveryCloud Migration ServicesDev-Ops,Document Management SystemsIT Service Management (ITSM)",",",0,"Low Code Development Platform,Outsourced Software / Application Development",",BYOD Employee Cell Device Management",",MobilityRouting,SD-WAN,WAN","Cybersecurity ServicesIT Service Management (ITSM),",0,Fall 22,4,0,0,1,3
Madison Square Garden Entertainment,"Director, Online Digital",msgentertainment.com,NY,,Hospitality,Sports and entertainment venues,"1,000-5,000",$1B-$3B,10,200,25,45,Windows,Oracle,AWS,No,No,no,Yes,Yes,migrating more workloads,Yes,Yes,"focused on leveraging more ai for consumer digital needs, including improving our data warehouse",Yes,Yes,removing data silos and data hygiene for a data warehouse rearchitecture initiative,Yes,Yes,development resource allocation and scaling,Yes,No,continued remote vs hybrid work setups,Yes,Yes,scaling headaches for u.s. and non-u.s. expansion,Yes,No,maintaining flexibility for specific project initiatives,No,No,no,0,",Business Intelligence,Cloud Migration ServicesConnect Cloud,CRMDocument Management Systems,ERPIoT,IT Service Management (ITSM),Managed File Transfer,MobilityStorage,Virtual Machines,","Artificial Intelligence & Machine Learning,Digital Transformation",",BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Business Process Management,Customer Data Platform,Data Cleansing,Data Quality,Data Visualization,Data Warehousing,Network and application performance monitoring","APIs,Cloud,DevOpsMobile,Web","Contract Management,Contract Negotiations",",Data Center NetworkingMobilityNetwork Connectivity,WIFI,Wireless","APIs,Application Modernization,Cloud Enablement,Cloud Workload and Migration,Digital Transformation (Analytics, AI)IT Service Management (ITSM),QA/Testing,Software / Application Development,Staffing / Recruiting,Technology Lifecycle Management,",0,Fall 22,0,0,0,3,3
Hartford,IT Director,www.hartfordc.com,CT,,Insurance,Insurance,"10,000+",$3B-$5B,5,No,No,No,No,No,AWS,No,No,no,Yes,Yes,migration from sql/ssis to cloud native solutions,No,No,no,Yes,Yes,data virtualization,No,No,no,No,No,no,No,No,no,No,No,no,No,yes,flexible training schedule,0,",Business IntelligenceStorageVirtualization",",",",BI Dashboard & Reporting,Big Data & Analytics,Business Intelligence,Data Cleansing,Data Governance & MDM,Data Integration & Access,Data QualityData Warehousing,",",",",",",",",",IT Advisory / Analyst SupportIT Certificates,Fall 22,1,0,0,2,3
Carpet Shoppe Inc,IT Manager,www.americanfloorandhome.com,HI,,Retail,flooring and home renovation,100-250,$0-$50M,2,1,1,1,Windows 10,No,No,Yes,No,decisions at my company are typically based on cost and is about 80% of the decision making process,No,No,no,No,No,no,Yes,No,please see cost challenges above. i think learning and becoming more proficient with bi would help not only me but our company,No,No,no,No,No,no,Yes,No,please see cost above. i inherited a mess of cables and patch work infrastructure. i believe if this is cleaned up it would help stabilize and improve our network.,No,No,no,No,yes,"please see cost challenge above. as the only it person on site, i'm always looking to improve myself and would like to know more about the training out there.",",Security Awareness Computer-Based Training for end-usersEmail SecurityEncryption,Mobile SecurityPenetration Testing and Simulation",",",",",",BI Dashboard & Reporting,Business Process ManagementEncryption",",",",",",Network Connectivity,SD-WANWIFI,",",","IT Certificates,IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software",Fall 22,1,0,0,2,3
Seyer Industries,IT Manager,www.seyerind.com,MO,,Manufacturing,Commercial aerospace assemblies and support equipment for the DOD and defense,100-250,$50M-$100M,4,3,1,0,Windows 10,Epicor / Kinetic,No,Yes,Yes,we are working to become nist 800-171 ready and need to finish up our last couple of requirements. but i would also like to nail down access to our network and secure our business through technology.,Yes,Yes,find a dr location for our data center most likely landing on rubrik back up and need a dr option to roll into incase of a disaster.,No,No,no,Yes,Yes,"our nimble storage will be one of service life in 2024 and i am looking for a replacement. need all flash, 10gig and iscsi. also looking for a data storage tech that is able to secure files and protect against ransomware and audit file access.",No,No,no,Yes,No,nothing at this time,Yes,No,nothing at this time,Yes,Yes,no,I am looking for a staffing and recruiting platform to add at least one to possibly two more people to our it department in the next 1-2 years.,no,no,"Disaster / Backup RecoveryEmployee monitoring & Insider Threat Detection,Encryption,Identity & Access Management,Risk & ComplianceThird Party Cyber Risk ManagementUser behavior monitoring,","Backup/Disaster Recovery,Help Desk",",",Backup/Disaster RecoveryEncryptionServer Storage,",",",",",","Technology Lifecycle Management,",0,Fall 22,2,0,0,2,3
SouthStar Bank,CTO,southstarbank.com,TX,,Finance,"Deposit accounts, commercial loans, mortgages.",100-250,$0-$50M,19,4,1,No,Windows 10,No,Azure,Yes,No,incident response and resilience.,Yes,Yes,evaluate cloud migration.,No,No,no,Yes,No,none.,No,No,no,Yes,No,none.,Yes,No,complete firewall migration.,Yes,No,none,Yes,No,retain and train existing employees.,",Cloud SecuritySecurity Awareness Computer-Based Training for end-users,Disaster / Backup Recovery,Email Security,Endpoint detection & response (EDR),Extended Detection and Response (XDR),Identity & Access ManagementPhysical Security - Surveillance and Access Control","Cloud Migration Services,",",",0,",",",",",",",Vendor Evaluations",",IT Training Software for staff : Cybersecurity,IT Training Software for staff : Software,IT Training Software for staff : IT OperationsTeam Efficiency and Effectiveness Training,",Fall 22,1,0,0,2,4
