Company,Job Title,Website,State,Department Spend,Industry Sector,Key Products or Services,Employee Count,Annual Sales,Locations,IT Department Size,IT Security Team Size,Contact Center Seats,Operating System,Current ERP,Cloud Service Provider,cyber,cloud,digital,data,software,communication,network,consulting,IT,Data Date,cyber_total_kcount,ucaas_ccaas_total_kcount,mobility_total_kcount,data_center_total_kcount,cloud_total_kcount,vendors_total_kcount
"Quanta Services, Inc.",Sr. IT Program Manager,quantaservices.com,"TX
",100000000,"Other
",Construction and engineering for utility and energy sector,"10,000+ employees",$5B+,over 300,500,10,15,"windows, linux, IOS, android","Oracle, Microsoft, others","Azure
","dmarc for email security, enterprise logging and siem, identify management, and zero trust, usb encryption, immutable data storage",cloud  bases data center,no,no,no,no,"lifecycle refresh and load balancing refresh, new wifi",finding good talent,no,Summer 22,3,0,0,2,5,0
Rancho Health MSO,Vice President of Information Technology,ranchofamilymed.com,"CA
",500k,"Healthcare / Hospital
","We are family physicians serving south Riverside/Ventura county with the highest quality of care. Rancho√¢‚Ç¨‚Ñ¢s goal is to approach medicine differently by offering more cohesive care and education that extends beyond the four walls of the exam room. We do not just make suggestions and write prescriptions, we have taken steps to improve the health of our patients. Our family physicians have developed educational content that empowers their community to make healthy lifestyle changes.  We also have free senior centers for our patients 65 and older that are full of exercise and nutrition classes as well as full online courses teaching a wide variety of health topics. We pride ourselves on going beyond the exam room to make our community healthier and happier.","500-1000 employees
","Less than $50M
",21,8,8,8,Windows,Sage Intaact,"Azure
","wfh / byod protection
encryption 
mfa
siem
mssp
soc",no,no,we need to start developing a data lake in order to run our data analytics.,no,no,no,no,no,Summer 22,4,0,1,0,1,0
Realty Champion,Real Estate Agent,realtychampion.com,"CA
",Not sure,"Other
",Real Estate,"0-50 employees
","Less than $50M
",2,NO,NO,NO,NO,NO,"Google 
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
RecruitMilitary LLC,CTO,recruitmilitary.com,"VA
",$2M,"Other
",Recruiting and talent acquisition services connecting military veterans with employers.,"100-250 employees
","Less than $50M
",1,11,2,0,Windows,NO,"AWS
","we are journeying toward cmmc level 2 certification, and we have requirements for conducting disaster recovery and incident response exercises in the next several months.-- looking to put this discipline into practice; needs framework to get this live",none,none,none,none,none,none,this is an area that we're unsure about but are exploring.,none,Summer 22,1,0,0,0,1,1
Redwire Space,Cybersecurity Engineer,redwirespace.com,"FL
",1.2M,"Other
",Aerospace and Defense,"500-1000 employees
","$50M-$100M
",8,15,3,1,"Windows, Linux, Mac",IFS,"Azure
",web app and cloud app security; dlp (6-9 months); incident response,no,no,no,no,no,no,no,no,Summer 22,1,0,0,1,2,0
Renewal by Andersen of Houston,IT Manager,rbahouston.com,"TX
",15000,"Manufacturing / Natural Resources
",Custom replacement windows and doors.,"100-250 employees
","$100M-$250M
",3,3,3,50,Windows 10,NO,"Azure
",we are currently evaluating our need for the indicated solutions.,we are considering replacing our msp solution with an internal itsm tool.,no,no,no,no,no,no,no,Summer 22,0,0,0,0,2,1
Renfro,Director of Business Analytics,renfro.com,"NC
","$280,000k","Other
",Manufacturing socks and apparel,"500-1000 employees
","$250M-$500M
",4,12,3,NO,Microsoft,Microsoft Dynamics ,"AWS
",no,no,no,"consolidation of customer data, erp, syndicated data sources into one central location.",no,no,no,no,no,Summer 22,0,0,0,0,0,0
Responsive Education Solutions Blue Learning,VP of Information Services,responsiveed.com,"TX
",$10 million,"Education
",K-12 education,"1000-5000 employees
","$100M-$250M
",100,72,3,0,Google shop,Skyward,"Google 
",my first project this next year is live monitoring of the network so my service desk can see outages? issues? 2nd would be to replace out current company who monitors out next work. we would like real time feed back if something is going on. ,how do we document better and how does my hd work more efficient and nation wide? ,no,no,no,no,no,no,no,Summer 22,0,0,0,0,1,1
Rockefeller Group,IT Director,rockefellergroup.com,"NY
",100000,"Other
",Real Estate Development,"100-250 employees
","$250M-$500M
",5,11,4,NO,Windows 10,"WorkDay, Yardi","Azure
",i would like to review alternatives to darktrace and secureworks.,i would like to review alternativities to our current help desk software.,no,i would like to review data governance as it applies to ny and the rest of the united states.,no,currently we have migrated off of mobile iron to intune.  i would like to review other alternatives.,i would like to review to alternatives to aruba.,i would like to review alternatives to cyber security services other than secureworks.,i would like to review what and how to plan it certifications for example microsoft azure.,Summer 22,2,0,1,1,1,0
Royal Bank of Canada,Associate Director T&O ORM,rbc.com,"Canada
",OVER 1 BILLION,"Banking / Finance
",Banking and financial ,"10,000+ employees",$5B+,NO,NO,NO,NO,NO,NO,"AWS
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
SAP,Engineering Manager ,sap.com,"CA
",50,"High Tech
","ERP, CRM, HCM ","50- 100 employees
","$50M-$100M
",5,40,5,4,SUSE ,SAP,"Azure
","cloud security for erp, web apps, vulnerability and malware protection. ",on-prem migration to cloud ,no,looking for cloud storage ,devops ,no,no,no,no,Summer 22,2,1,0,4,5,0
SAS Inc,Director of It & IS,sasinc.com,"MI
",200000,"Other
",Wholesale distributor,"250-500 employees
","$1B-$5B
",2,13,2,13,Windows,NetSuite,"Azure
",zerotrust is a major focus for us this year. we want to explore industrial & iot security options. ,i would not classify them as challenges at this time. iot we need to learn more about. itsm we wish to implement in the next 6 - 9 months,no,none at this time,none at this time,byod is something we wish to implement safely,none at this time,none at this time,retaining a strong team is essential to our further growth as an organization. ,Summer 22,2,0,2,3,3,0
SFO,ITT Project Director,flysfo.com,"CA
",$5M,"Transportation
","Travel and transportation services including parking, concession and other related services including a medical center where vaccinations are provided to the public, ITT services including free wi-fi to the public and network/telecommunication services to our tenants","1000-5000 employees
","$500M-$1B
",one,100,6,10,Windows,PeopleSoft,"AWS
",no,"expansion of cloud services including accessibility to timely backups, leveraging bi for increased revenue (b2b), consolidating existing customer sources and evaluating crms, evaluating erps for integration with online payment services, and boosting compliance and maturity relative to itsm, self service - data catalogs etc",looking to refine and provide additional optional automated self service tools and support including to our customers and our internal employees relative to employee engagement and onboarding. ability to leverage ai/ml for repetitive tasks and data mining - predictive analytics on traffic patterns and purchasing patterns --  enhancing capabilities to transform operations via technologies ,"continue to evolve and expand our data architecture, integrate our data cross hybrid platforms, continue leveraging data visualization for new business revenue opportunities, increase public services with continual improvement.  leverage our data tools and security solutions to ensure data is protected -- fighting against ransomware and other intrusion vehicles.   ","enhancing app dev tools - for optimal development and automation - capture business needs to develop schematics and business solutions that can be pas qa metrics, provide agile deployment, tools for tracking versioning, promote secure solutions -- all to continually deploy solutions per a backlog.  create value for tenants, employees/business processes and the public.",no,no,no,"providing employees training and tools to  develop skills and competencies including leadership and communication. team building opportunities --  providing certificate programs (cissp, pmp, cbap, networking etc.)  management solutions that can assist with workload balancing, project portfolio prioritization, governance and policy aids, and it asset management for continued compliance and maturity development.  training of our itt and business for common understanding of risk management, security, data principles (self-service) and governance to select and implement the right solutions for the top business needs -- increase of revenue, operational efficiencies and cost reduction, innovation and new service deployments, and expand/improve passenger experience- a safe, secure and wonderful journey travelling through our airport.  ",Summer 22,8,0,0,4,9,0
SJRA,CIO,sjra.com,"NJ
",3000000,"Healthcare / Hospital
",Radiology,"500-1000 employees
","$100M-$250M
",16,NO,NO,NO,NO,NO,NO,see above,see above,see above,see above,see above,see above,see above,see above,see above,Summer 22,0,0,0,0,0,0
SUNY Downstate Health Sciences University,CISO,downstate.edu,"NY
",15M,"Healthcare / Hospital
",Health care and higher education,"1000-5000 employees
","$250M-$500M
",7,100,1,NO,Windows /Linux/MAC,NO,"Azure
","ransomware, ir, security cloud & compliance pci-dss 4.0",cloud visibility and audit,no,no,no,no,no,no,no,Summer 22,3,0,0,2,3,0
SUNY Downstate Health Sciences University,Director,downstate.edu,"NY
",2 to 5 Million,"Government (state/local/federal)
","This is a NY State Government Education and Hospital. 
Teaching for MD, PhD, Nursing Public Health and all Health related programs. 
Hospital with 650 Beds and 13 Clinics 
Patient care Services","500-1000 employees
","$1B-$5B
",SUNY Downstate Health Sciences University,120,<5,NO,"Windows (mostly), Mac, Android",Lawson,"Azure
",no,putting the whole emr data about 4.5 tb in the cloud. very big project,manage consultants develop and buy applications,interacting with the business to understand their need. - remote working. - expert data programmer. - data visualization. - data integration. - etl maintenance - sap/tableau enterprise management - allscripts clinical performance management and sunrise clinical management reporting timely enterprise reporting data ware house - looking regulatory and quality - reporting patient safety,"mobile app - proficient programmer - maintenance and support - data integration and etl in the applications - web, citrix, .net programming",no,no,expert consultant - communication - in time and budget,no,Summer 22,0,0,0,3,6,0
SWIFT Inc,Head of Engineering,swift.com,"VA
",100M,"Banking / Finance
",Messaging services for financial institutions,"1000-5000 employees
","$500M-$1B
",5,NO,NO,NO,NO,NO,"AWS
",no,figure out how to scale our footprint to the cloud. e.g. to use cloud as an extra capacity. ability to compare cost on-prem vs in the cloud to identify the cloud migration strategy,no,no,mainly looking for software compliance and application lifecycle management,no,migration to cisco aci and implementing netdevops within swift,ability to find the right partner to help with our challenges and solutions.,up skill our team members and figure out the right training paths based on the technology domains,Summer 22,2,1,0,4,7,1
San Antonio River Authority,Director of Information Technology,sariverauthority.org,"TX
",$2.1M,"Government (state/local/federal)
","The San Antonio River Authority (River Authority) was created in 1937 by the State of Texas to preserve, protect, and manage the resources and environment of the San Antonio River Basin.  
*Develop predictive flood modeling technology
*Create and maintain watershed master plans for the San Antonio River Basin
*Perform debris removal to maintain flow capacity of waterways in Wilson, Karnes, and Goliad counties.
*Conduct water quality monitoring and assessment for State of Texas√¢‚Ç¨‚Ñ¢ Clean Rivers Program
*Own, operate, and maintain five wastewater treatment plants and collection systems in northeast Bexar County as well as managing the Randolph Air Force Base wastewater system.
*Operate, maintain, and provide recreation and educational programming for various parks and trails (https://www.sariverauthority.org/about/current-facts)","250-500 employees
","$250M-$500M
",9,18,2,NO,Windows 10,NO,"Azure
","we are moving our data center to a co-location and in doing so we need to update our disaster recovery plan.  this will include how backups are performed as a goal is to have air gap copy.  we have a variety of applications and perform an account assessment quarterly, but the vulnerability of the applications has evolved.  we would like best practices or tools on how to perform this assessment.  we currently have a pam solution in place but would like to learn about best practices as trends have been changing in this area.   ",we currently have a helpdesk solution that encumbers asset management.  the challenges of adding agents to the system is getting expensive and the scanning feature is not always reliable.  we are going to review help desk solutions throughout 2022 but will need to wait for budget approval in june 2023 to proceed. we currently have a managed file transfer solution but would appreciate any information on new solutions.  the approval for budget for this solution would be in june 2023. ,no,we are piloting a data catalog solution in the coming months to understand its functionality.  the challenge is understanding how to incorporate all our data into a useful tool.  best practices would be appreciated. ,not interested at this time.,not interested at this time.,not interested at this time.,not interested at this time.,training on microsoft azure.,Summer 22,3,0,1,4,6,0
Sansum Clinic,CISO,sansumclinic.org,"CA
",28000000,"Healthcare / Hospital
","We offer the entire spectrum of ambulatory services, primary care, and numerous other patient care services.","1000-5000 employees
","$250M-$500M
",26,70,5,NO,NO,Oracle,"Hybrid
","1) iam in a multi-cloud and on-premise scenario - need one system of truth for authentication across all platforms
2) pam for third-party vendor access and internal lock down of administrative access
3) email / cloud security for google workspace stretching back into our on-premise environment and tooling","1) saas management - need visibility into the saas offering i consume for better alerting / monitoring
2) mobile device management - need something that is powerful to mitigate security concerns at a moments' notice to isolate or wipe
3) virtualization - vmware acquisition has deeply embedded concerns for product line viability, support, and third-party vulnerability management",no,1) mobile device management - need something that is powerful to mitigate security concerns at a moments' notice to isolate or wipe,no,no,1) further network segmentation - not ready for micro-segmentation but heading toward a more purposeful segmentation of the network,this will vary based upon changes in the organizational strategy with a new cio.,my top challenge is the translation of it acronyms and concepts to business speak for my executive team.,Summer 22,5,1,3,3,5,1
Santa Fe Christian Schools,CTO,sfcs.net,"CA
",1m,"Education
",Private K12 Education,"100-250 employees
","Less than $50M
",1,4,1,4,Windows/Mac,BlackBaud,"Google 
","firewall replacement, change isp and possibly add managed services, implement end user phishing training",replace lab computers with vdi or cloud-based apps for adobe suite of products ,no,no,no,replace aging voip system thru isp with modern cloud based system,network management of various vendors ,no,train up and certify existing it staff,Summer 22,3,1,1,4,5,0
Schaefer Systems International ,Head of IT,ssi-schaefer.com,"NC
",250000,"Manufacturing / Natural Resources
","Logistic Solutions 
Warehouse automation 
Plastics","500-1000 employees
","$100M-$250M
",6,NO,NO,NO,NO,NO,"Azure
",dlp and edr solutions are needed,best practices to move services to cloud,none ,assets management best practice management ,no,no,none,none ,none,Summer 22,2,0,0,1,1,0
Screenvision Media,VP of IT,screenvisionmedia.com,"NY
",20 million,"Media / Marketing / Advertising
",Advertising in cinemas and out-of-home.,"250-500 employees
","$250M-$500M
",5,9,1,0,Win11,Operative,"Azure
",identity management and cloud security,looking to mature our data and analytics offering in the cloud.  we currently use powerbi and some azure data factory services.,looking to automate data collection from multiple external sources.,looking to automate data collection from multiple external sources.,looking to upgrade a legacy app to a low code azure app.,upgrade 4 teams conf units.,no plans on the networking side.,low code solution for a legacy dotnet app.,looking to get some cybersecurity training we can send out to our users.,Summer 22,5,1,0,6,3,2
ShelterPoint Life,Network Security Analyst,shelterpoint.com,"NY
",1 million,"Insurance
",Insurance,"100-250 employees
","$500M-$1B
",3,10,3,40,Windows,custom developed,"AWS
","solution for code review, mobile device management and security",expand into aws for a disaster recovery,no,looking for alternative solutions to our backup solutions,no,no,no,no,looking for solutions to train existing and new hires within the company,Summer 22,3,0,1,2,2,0
Signet Jewelers,Infrastructure Services,signetjewelers.com,"OH
",100M,"Retail
",Jewelry sales and repair.,"5000-10,000 employees
",$5B+,2000,300,15,700,Windows 10,Unknown,"AWS
",no,no,no,no,no,no,no,no,"complement cloud training that we currently added with appropriate on premise solutions as well.  we previously used pluralsight, but looking to coalesce on something to complement cloud academy or replace and become a one stop shop for our remote training needs.",Summer 22,1,1,0,2,2,0
Silver Reef Casino Resort,CTO,silverreefcasino.com,"WA
",5000000,Travel / Hospitality / Recreation / Entertainment,"Casino Gaming, Hotel, Spa, Golf, Fine Dining, Concerts and Events, Business meeting space.","500-1000 employees
","$100M-$250M
",2,15,2,0,Windows,MS Dynamics,"Azure
",i am looking to enhance our cybersecurity footprint by adding a solution that support vpn connections with our mobile workforce using a zerotrust model.,i am looking for a solution to replicate my physical environment in the cloud via co-location.,no,i am looking for a solution to replicate my databases in the cloud via co-location.,no,i'm interested in the byod management of cell devices.  ,i am looking for a solution to replicate my physical environment in the cloud via co-location.,i am looking to increase my staff by 10% next year.  i would be interested in a recruiting company,i would be interested in discovering a resource on leadership coaching for my team.,Summer 22,3,0,0,4,4,1
Skyline Enterprises,VP & Head of IT and Security,skylineenterprises.com,"CA
",1M plus,"Other
",We are a commercial construction company,"250-500 employees
","$250M-$500M
",7,NO,NO,NO,NO,NO,"Azure
","cybersecurity zero-trust framework continuation various areas
dr & business continuity",no,no,"cloud backups and restore easy to manage solution, secure to protect from ransomware attacks, and at a reasonable cost.",no,good for now.,"sd-wan implementation across offices, look into firewall refresh and ssl client vpns alternative",looking for a juniper networks engineers and azure cloud engineers 100% hands-on to help with projects.,no,Summer 22,8,0,0,4,2,0
Sophos,Dir Product Management ,sophos.com,"MA
",5000000,"High Tech
",Cybersecruity ,"1000-5000 employees
","$1B-$5B
",100+,30+,20+,NO,All,Several,"AWS
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
Southern Nevada Health District,Chief Information Officer,southernnevadahealthdistrict.org,"NV
",1.5 M,"Government (state/local/federal)
","Healthcare services, FQHC, clinics, governmental services, permits, etc.","500-1000 employees
","$100M-$250M
",6,30,0,10,Windows,CentralSquare,"Azure
","risk assessment and management, grc","new itsm platform to replace legacy technology
identify new erp solution",looking for rpa to improve efficiencies and automate redundant work,no,low code platforms to improve time to deployment,uc in teams replacing cisco on-prem,no,no,certifications and training for staff who have not had much training in multiple years. ,Summer 22,1,2,0,2,3,2
Southwestern CSD,Personal Computer Specialist,swcsk12.org,"NY
",50000,"Education
",Learning,"100-250 employees
","Less than $50M
",1,3,3,0,win10,NO,NO,defending against attacks and prevention,looking for it helpdesk solutions as well as asset management.,no,no,no,looking for a broadcast solution doing morning announcement and broadcasting school events.,we will need a wi-fi upgrade in a year or 2,no,asset management is a major priority.,Summer 22,1,0,0,1,1,0
Steel Service,IT Manager,steelservice.com,"MS
",500000,"Manufacturing / Natural Resources
","Steel Production, Construction Project Management","100-250 employees
","$500M-$1B
",1,1,1,0,Windows 10,Southware,"Azure
",putting together a plan to add proper monitoring and management of security concerns to ensure better posture beyond what we currently provide.,"in the future, add document management to mix. must be able to improve workflow.",no needs at this time,"reviewing what might be possible with powerbi or other solutions to ensure cash flow, daily, weekly reports are generated automatically.",no coding. ,review voip solutions for future upgrade in 2024.,looking to improve wan and look into sd-wan benefits. possible firewall in the cloud?,add full soc and solutions to existing.,provide a solution to training. solution for cyber-training must allow us to add additional videos of our own with questions of our own to complete the training sessions we assign to users.,Summer 22,5,1,0,3,3,1
Sterilite Corporation,"CIO / Vice President, Information Services",sterilite.com,"MA
",NO,"Manufacturing / Natural Resources
",Houseware products,"1000-5000 employees
","$250M-$500M
",9,17,2,0,Windows,ORacle,"Hybrid
",.,no,no,.,.,.,.,.,.,Summer 22,0,0,0,0,0,0
TTR Sotheby's International Realty,"Director, Information Technology",ttrsir.com,"DC
",60000,"Professional Services
",Real Estate,"500-1000 employees
","$500M-$1B
",10,1,1,10,Mac OS,DCA,"AWS
","we need backup, ransomware, and disaster planning solutions",no cloud solutions issues at the moment,security and customer service improvements are what we need in this area,we need to protect our data and also harness it for business intelligence,no need for this,we are happy with our set up for this,we are set for this,we are set for this,interested in hearing about training options,Summer 22,4,0,0,2,2,1
"Tech Etch, Inc.",Director IT and Security,techetch.com,"MA
",900000,"Manufacturing / Natural Resources
","manufacturing and design services provider of precision engineered thin metal components, flexible printed circuits and EMI/RFI shielding solution","500-1000 employees
","$50M-$100M
",3,7,2,1,Windows ,Epicor,NO,cmmc compliance,cloud storage,none,"bi dashboards, data visualization needs",would like to begin discussions of iiot with manufacturing equipment interfacing to our erp solution,none,company intranet options to replace home-grown system with limited access,no,it training for existing staff,Summer 22,2,0,2,3,5,1
The American Society of Mechanical Engineers,Managing Director,asme.org,"NY
",1.7 Million,"Non-Profit
","Standards, training, continuing education, books","500-1000 employees
","$250M-$500M
",6,40,6,45,Windows 10,Salesforce,"Azure
","ransomware protection, insider threat, edr/mdr, cloud native security, email protection, penetration testing, iam, pam","digital transformation, erp, backup/disaster recover, secure file transfer","rpa, customer experience, digital workforce","data warehouse, encryption, hci","devops, salesforce development, digital transformation","contract management, unified communication",sd wan and carrier migration,cloud migration,it training and retention,Summer 22,10,1,0,11,7,0
The Asia Foundation,Director Business Information Systems,asiafoundation.org,"CA
",vaires,"Non-Profit
","The Asia Foundation is a nonprofit international development organization committed to improving lives across a dynamic and developing Asia. Informed by six decades of experience and deep local expertise, our work across the region is focused on good governance, women√¢‚Ç¨‚Ñ¢s empowerment and gender equality, inclusive economic growth, environment and climate action, and regional and international relations.

Headquartered in San Francisco, The Asia Foundation works through its network of offices in 18 Asia-Pacific countries and in Washington, DC. Working with public and private partners, the Foundation receives funding from a diverse group of bilateral and multilateral development agencies, foundations, corporations, and individuals. In 2021, we provided $82.7 million in direct program support and distributed textbooks and other educational materials valued at $1.8 million.","500-1000 employees
","$50M-$100M
",22,20,4,0,windows 10,Deltek Costpoint,"Azure
",no,"digital transformation project
fp&a software
timesheets
expense software
application integration - project/contract management <-> hris <-> finance erp","digital transformation project
fp&a software
timesheets
expense software
application integration - project/contract management <-> hris <-> finance erp","digital transformation project
fp&a software
timesheets
expense software
application integration - project/contract management <-> hris <-> finance erp","digital transformation project
fp&a software
timesheets
expense software
application integration - project/contract management <-> hris <-> finance erp",no,no,"digital transformation project
fp&a software
timesheets
expense software
application integration - project/contract management <-> hris <-> finance erp",no,Summer 22,0,0,0,10,0,0
The Boyd Group,"Manager, Enterprise Security",boydgroup.com,"IL
",2000000,"Transportation
",Automotive Collision repair,"10,000+ employees","$1B-$5B
",1000,30,2,500,Windows,NO,"Azure
",no,no,no,no,no,no,no,no,no,Summer 22,0,0,0,0,0,0
The Carpet Shoppe,IT Manager,americanfloorandhome.com,"HI
",$100K,"Retail
","flooring, kitchen and bath and home renovations","100-250 employees
","Less than $50M
",2,1,1,NO,Windows 10,NO,"Azure
",no,nothing really important in the next several months,no,no,establishing an ecommerce presence that ties in with our pos system without an api,no,improving our infrastructure,no,budget,Summer 22,0,1,1,1,1,0
The Decker Companies,Director of Information Technology,deckertruckline.com,"IA
",1000000,"Transportation
",Transport goods and materials nation wide. Logistics for non assets.,"1000-5000 employees
","$250M-$500M
",9,4,4,NO,Windows 10 - Server 2019,McLeod,"Hybrid
","third party risk assessment and management, we have specialized vendors to our industry and we do not get a lot of visibility into what they do with our information at times.

we need to setup a penetration test and on prem testing. we are always exploring options with data loss prevention. ",no,no,no,no,"we have an on prem system now, looking to move to a cloud hosted solution. ","looking to update our switching and routing environment. outdated switches and routers in place now.
",no,"always looking to improve the team. would like to retain the staff we have, hard to do with the options available to the it workforce. we need to explore a good asset management tool that does not break the bank. ",Summer 22,1,2,1,2,3,1
The Idea Travel Company,CIO,ideatravel.com,"CA
",5000000,Travel / Hospitality / Recreation / Entertainment,Travel services for upscale clients and specially designed travel gear.,"1000-5000 employees
","$250M-$500M
",100,15,3,1000,Microsoft windows,Oracle,"Azure
","provide a safe environment for our scattered workforce to work from home, at the office, or on the road.","we are trying to move the entire enterprise to the cloud which is an enormous task considering we have millions of files that have to be moved, some quite lengthy.",our current disjointed array of records must be digitized for rapid access to glean useful information for both sales and marketing along with our ai initiatives.,"we have a wealth of information hidden in our treasure trove from clients, suppliers and the internet that needs to be tied together to make better predictions on helping clients have the best outcome from the time the first contact us until they return home.",no,we need a unified communication platform that allows anyone in our network to easily reach a specific person or someone that can help them with any questions.,"our workforce is always mobile, and we want to provide the latest tools for their use.",we need expert advice in our digital transformation process.,no,Summer 22,0,1,0,4,4,1
The Pictsweet Company,"Vice President, Information Technology ",pictsweetfarms.com,"TN
",2000000,"Manufacturing / Natural Resources
",We produce frozen vegetables ,"1000-5000 employees
","$250M-$500M
",10,15,1,0,Windows 10/11,NO,NO,increase our security posture by shoring up backups and end point protection.  ,no,no,no,no,no,need to start planning for network refresh at some sites. ,no,i need to develop better leaders within the it team. ,Summer 22,2,0,0,0,0,1
The START Center,Chief Information Officer,thestartcenter.com,"TX
",$1M,"Healthcare / Hospital
",Cancer Caer and Research,"500-1000 employees
","$100M-$250M
",15,15,3,2,Win 10,Microsoft,"Azure
",limited resources.  need to automate as many processes as possible,"moving most our services to cloud, either azure or saas",not expanding digital solutions,moving data to the cloud,growing software dev team that will need secure dev tools and framework,not expanding,have a new sd-wan and refreshing all internal switching,do not outsource,employee recruiting and retention,Summer 22,1,0,0,4,3,0
UCAL SYSTEMS INC.,IT Director,ucalsystems.com,"IL
",200k,"Manufacturing / Natural Resources
",OEM components for Automobile,"100-250 employees
","Less than $50M
",2,1,1,1,Microsoft,Infor,"Azure
",needs to deploy dlp and data center security as per the security best standards.,file management and document management,would like to know and deploy ai for data center and security,data encryption,api integration with erp system,allowing employee devices to access our business application ,deploy wifi to all our manufacturing facility,no,provide security training to it department,Summer 22,6,1,1,2,4,1
Union Supply,IT Manager,unionsupplygroup.com,"TX
",80000,"Other
","Union Supply Group offers more than 12,000 items in secure, correctional-appropriate designs and packaging to meet the safety and security needs of the correctional industry. With nearly 600,000 square feet of warehouse space at our distribution centers near transportation hubs in Ohio, Nevada, Texas and Florida, Union Supply Group fills orders accurately, completely and on-time. We pride ourselves on same day shipping on all orders.

Union Supply Group is exclusively dedicated to supplying the correctional industry. We have become the fastest-growing commissary provider in the industry by emphasizing security, innovation and value across our entire product range.","250-500 employees
","$50M-$100M
",6,9,3,150,Windows,RSM,"Azure
","siem is priority at the moment with pam and dlp followed closely,","none are priority at the moment, light research only.",no,need an ssl monitoring tool for internal and external servers. ,constantly developing integrations with vendors and customers. security and api development is a constant.,"byod main priority, currently evaluating intune and meraki mdm. ",currently in process migrating from cloudgenix to fortinet sd-wan.,no,no priorities for training at the moment. powerapps possibly the only priority for sharepoint online.,Summer 22,4,1,3,3,4,1
United Conveyor Corporation (India) Pvt. Ltd.,Manager Information Technology,uccenvironmental.com,"IL
",50,"Manufacturing / Natural Resources
","Welcome To UCC Environmental
Since 1920, UCC Environmental has been providing highly-engineered material handling and environmental solutions for power generation and industrial applications worldwide. We work closely with our customers to conceptualize, design, and supply systems that meet their individual plant needs. Our company√¢‚Ç¨‚Ñ¢s success is based on providing customers with the highest level of innovations, system reliability and customer service throughout the life of their system.

Headquartered in Illinois, USA, UCC Environmental offers global support from over 50 sales and service locations around the world. Global operations in the United States, Germany, Thailand, India and China allow UCC Environmental to seamlessly serve its international customer base.","500-1000 employees
","$50M-$100M
",10+,11,3,3,Windows 10 and 11,Microsoft Dynamics,"Azure
",looking for mfa over vpn connectivity ,looking for high gpu vdi on cloud ,no,no,no,thinkhub and polycom devices interconnectivity required ,want to improve wan connectivity across all location,no,training it staff and keeping them motivated by ensuring achieving department goal of excellent it service,Summer 22,1,0,1,2,2,1
United Health Group,Director Architecture,uhc.com,"MN
",2M,"Insurance
","B2B Healthcare consultancy 
Advisory services
Software products
Health Plans
Urgent care facilities","10,000+ employees",$5B+,48,50000,250,500,"Windows, Linux, Unix",Oracle,"Azure
","we grow by m&a which makes it very challenging to harden our endpoints. the applications that we acquire have to plug and play with our current environment, some need to be evaluated and put on a decom path, we need to educate our new partner teams of our security stance, we need to understand the security mindset of th enew teams, we need toscore them,  integrate them with our soc monitoring efforts. we are only as strong as our weakest point. given that we are evaluating proactive ways to do this with minimal noise and diplomatically. ","we have 5-10 year strategy for cloud migration and opensourcing licensed s/w and we need to find cheaper storage for peta bytes of data in both warm and cold storage to be cost effective.

we are  socially responsible and working with a non profit organization that caters to spinal cord injury patients rehabilitation. need to understand vendors that can help us make their quality of life better. ",we are working on externalizing and digitizing 6 applications and consolidating some of their responsibilities in the process eliminating some if possible. we need to make them digitally transformed and provide the security for them to be accessed from external users,"looking to integrate many applications data via canonical model. need to establish data governance standards, processes and stakeholders. looking for solutions for the same ",no,"need to optimize appeals and grievances customer center using ai/ml
need solution to plug and play with clinical mgmt system to fulfill campaign management and customer communication, recruiting needs
to send sms, email securely to provider for their clinical action -just in time",no,"evaluation of legacy for lift and shift and or roadmap to modernization
identify meaningful healthcare okrs to aid business agility and growth
better api architecting and management
architecting secure softwares
security review board advisory/auditor services- how to effectively audit a program during a security review.. how to make it proactive

looking to hire product architects and  architecture analysts","security, togaf, 

collaboration / team building ideas

looking for architects &  architecture analyst",Summer 22,7,2,1,4,8,3
University System of New Hampshire,"Director Cyber-security Governance, Risk, and Compliance  ",usnh.edu,"NH
",5000000,"Education
",R1 Research Institution ,"5000-10,000 employees
","$1B-$5B
",5,120,15,10,Windows 10 ,Banner,"Azure
","university system that recently implemented crowdstirke with cloud service (azure, o365, etc.) with security implementations. ",no,no,no,no,no,consolidated of 5 campuses to one network. ,cyber-security needs as headcount is a concern and have to outsource. ,it cyber-security training for employees and staff. ,Summer 22,4,0,1,3,2,0
University of Colorado Anschutz Medical Campus and University of Colorado Denver,Director OIT,cuanschutz.edu,"CO
",28000000,"Education
",We are a medical education and medical services campus.  My role also covers the IT for CU Denver which is a traditional higher ed school,"10,000+ employees","$1B-$5B
",2,185,4,8,Windows,Cherwell,NO,we are bringing our newly built tier iii data center online in the next couple of months and are in need of ensuring security around the data as we move into the data center.,we would like to investigate having a cloud backup and dr solution as well as migration services,no,we are looking at new solutions for our new data center once it is fully commissioned,no,no,no,no,we are always looking to increase our staff capabilities and opportunities with skills development,Summer 22,3,0,0,1,1,1
